Type,Date,Description,Address,Latitude,Longitude,City,State,Median Household Income,Address_Clean
Other,10/04/2024 8:04 AM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
Theft,10/04/2024 7:34 AM,Larceny All Other. Event #,"700 BLOCK OF 24TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","700 block of 24th st, des moines, ia"
Other,10/04/2024 7:08 AM,ALL OTHER. Event #,"1100 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1100 block of 17th st, des moines, ia"
Other,10/04/2024 2:34 AM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of pleasant st, des moines, ia"
Theft,10/03/2024 7:04 PM,Motor Vehicle Theft. Event #,"100 BLOCK OF SE 1ST ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","100 block of se 1st st, des moines, ia"
Robbery,10/03/2024 5:04 PM,Robbery. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of school st, des moines, ia"
Other,10/03/2024 3:26 PM,ALL OTHER. Event #,"1400 BLOCK OF 10TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1400 block of 10th st, des moines, ia"
Assault,10/03/2024 3:06 PM,Simple Assault. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
Other,10/03/2024 2:11 PM,ALL OTHER. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1000 block of walnut st, des moines, ia"
Vandalism,10/03/2024 2:02 PM,Destruction/Damage/Vandalism of Property. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1700 block of grand ave, des moines, ia"
Theft,10/03/2024 12:27 PM,Larceny from Motor Vehicle. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of e grand ave, des moines, ia"
Burglary,10/03/2024 11:48 AM,Burglary/Breaking & Entering. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of court ave, des moines, ia"
Assault,10/03/2024 10:19 AM,Simple Assault. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of school st, des moines, ia"
Theft,10/03/2024 9:29 AM,Counterfeiting/Forgery. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1700 block of grand ave, des moines, ia"
Theft,10/03/2024 9:15 AM,Larceny All Other. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
Other,10/03/2024 7:21 AM,ALL OTHER. Event #,"1300 BLOCK OF KEOSAUQUA WAY, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1300 block of keosauqua way, des moines, ia"
Assault,10/03/2024 2:07 AM,Intimidation. Event #,"700 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","700 block of 17th st, des moines, ia"
Other,10/03/2024 12:42 AM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Other,10/02/2024 8:28 PM,Trespass of Real Property. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of pleasant st, des moines, ia"
Other,10/02/2024 7:41 PM,Trespass of Real Property. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1000 block of walnut st, des moines, ia"
Other,10/02/2024 2:19 PM,All Other Offenses (Except Traffic or Warrants). Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","400 block of 14th st, des moines, ia"
Other,10/02/2024 2:13 PM,All Other Offenses (Except Traffic or Warrants). Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","400 block of 14th st, des moines, ia"
Other,10/02/2024 11:34 AM,Trespass of Real Property. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of university ct, des moines, ia"
Other,10/02/2024 5:34 AM,Drunkeness. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of pleasant st, des moines, ia"
Other,10/01/2024 11:59 PM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Other,10/01/2024 11:45 PM,ALL OTHER. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of university ct, des moines, ia"
Arrest,10/01/2024 10:35 PM,Drug/Narcotic Violations. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Other,10/01/2024 10:33 PM,ALL OTHER. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of university ct, des moines, ia"
Other,10/01/2024 8:10 PM,Drunkeness. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Theft,10/01/2024 7:00 PM,Larceny All Other. Event #,"00 BLOCK OF GRAYS LAKE TRL, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","00 block of grays lake trl, des moines, ia"
Other,10/01/2024 4:50 PM,ALL OTHER. Event #,"1100 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1100 block of 14th st, des moines, ia"
Other,10/01/2024 3:51 PM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
Other,10/01/2024 3:08 PM,ALL OTHER. Event #,"1100 BLOCK OF GRAYS PKWY, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1100 block of grays pkwy, des moines, ia"
Theft,10/01/2024 2:21 PM,Larceny All Other. Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","400 block of 14th st, des moines, ia"
Other,10/01/2024 12:52 PM,ALL OTHER. Event #,"2100 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","2100 block of grand ave, des moines, ia"
Other,10/01/2024 10:10 AM,ALL OTHER. Event #,"100 BLOCK OF SE 1ST ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","100 block of se 1st st, des moines, ia"
Other,10/01/2024 8:44 AM,ALL OTHER. Event #,"200 BLOCK OF SW 11TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of sw 11th st, des moines, ia"
Vandalism,10/01/2024 12:01 AM,Destruction/Damage/Vandalism of Property. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of school st, des moines, ia"
Assault,09/30/2024 11:23 PM,Aggravated Assault. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Assault,09/30/2024 8:07 PM,Simple Assault. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1000 block of walnut st, des moines, ia"
Other,09/30/2024 7:45 PM,ALL OTHER. Event #,"1100 BLOCK OF 21ST ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1100 block of 21st st, des moines, ia"
Other,09/30/2024 4:56 PM,ALL OTHER. Event #,"1100 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1100 block of 14th st, des moines, ia"
Theft,09/30/2024 4:51 PM,Larceny All Other. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","900 block of school st, des moines, ia"
Other,10/05/2024 3:15 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552,Cedar Rapids,IA,"$66,895","6600 block of college park ct sw, cedar rapids, ia"
Other,10/05/2024 2:08 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552,Cedar Rapids,IA,"$66,895","00 block of miller ave sw, cedar rapids, ia"
Theft,10/04/2024 8:44 PM,"THEFT. This is from the Cedar Rapids police calls for service, information is subject to change.","200 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552,Cedar Rapids,IA,"$66,895","200 block of kirkwood ct sw, cedar rapids, ia"
Other,10/03/2024 7:53 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552,Cedar Rapids,IA,"$66,895","00 block of kirkwood ct sw, cedar rapids, ia"
