Address,City,State,Median Household Income,Address_Clean
"43400 BLOCK OF CAPE DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","43400 block of cape dr, sterling heights, mi"
"44600 BLOCK OF PINE DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","44600 block of pine dr, sterling heights, mi"
"15100 BLOCK OF OLIVEWOOD DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","15100 block of olivewood dr, sterling heights, mi"
"15000 BLOCK OF SHORE LINE DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","15000 block of shore line dr, sterling heights, mi"
"42600 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","42600 block of hayes rd, sterling heights, mi"
"15100 BLOCK OF SOUTHPOINTE DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","15100 block of southpointe dr, sterling heights, mi"
"43000 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","43000 block of hayes rd, sterling heights, mi"
"15100 BLOCK OF BRIDGEVIEW DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","15100 block of bridgeview dr, sterling heights, mi"
"FOUNTAIN DR  / ISLAND DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","fountain dr  / island dr, sterling heights, mi"
"44900 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","44900 block of hayes rd, sterling heights, mi"
"15000 BLOCK OF OLIVEWOOD DR, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","15000 block of olivewood dr, sterling heights, mi"
"43900 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","43900 block of hayes rd, sterling heights, mi"
"43700 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","43700 block of hayes rd, sterling heights, mi"
"42900 BLOCK OF HAYES RD, STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,"$75,381","42900 block of hayes rd, sterling heights, mi"
"S NB US 127/E RIVER RD MOUNT PLEASANT MI 48858, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","s nb us 127/e river rd mount pleasant mi 48858, mount pleasant, mi"
"200 BLOCK OF E PRESTON ST MOUNT PLEASANT MI 48858 (PARK, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","200 block of e preston st mount pleasant mi 48858 (park, mount pleasant, mi"
"100 BLOCK OF E PRESTON ST MOUNT PLEASANT MI 48858 (BOVEE, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","100 block of e preston st mount pleasant mi 48858 (bovee, mount pleasant, mi"
"1300 BLOCK OF S MISSION ST MOUNT PLEASANT MI 48858, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","1300 block of s mission st mount pleasant mi 48858, mount pleasant, mi"
"600 BLOCK OF EAST BELLOWS/EAST CAMPUS MOUNT PLEASANT MI, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","600 block of east bellows/east campus mount pleasant mi, mount pleasant, mi"
"600 BLOCK OF E BELLOWS ST MOUNT PLEASANT MI (ROWE HALL), Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","600 block of e bellows st mount pleasant mi (rowe hall), mount pleasant, mi"
"ELVA ST/E BROOMFIELD ST MOUNT PLEASANT MI 48858, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","elva st/e broomfield st mount pleasant mi 48858, mount pleasant, mi"
"S MISSION ST/FAIRFIELD DR MOUNT PLEASANT MI 48858, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","s mission st/fairfield dr mount pleasant mi 48858, mount pleasant, mi"
"S MISSION ST/E HIGH ST MOUNT PLEASANT MI, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","s mission st/e high st mount pleasant mi, mount pleasant, mi"
"3700 BLOCK OF S ISABELLA, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","3700 block of s isabella, mount pleasant, mi"
"S ISABELLA RD, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","s isabella rd, mount pleasant, mi"
"900 BLOCK OF APPIAN WAY MOUNT PLEASANT MI 48858 (THE, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","900 block of appian way mount pleasant mi 48858 (the, mount pleasant, mi"
"100 BLOCK OF E PRESTON ST MOUNT PLEASANT MI 48858 (BOVEE), Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","100 block of e preston st mount pleasant mi 48858 (bovee), mount pleasant, mi"
"900 BLOCK OF E BENNETT ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","900 block of e bennett st, mount pleasant, mi"
"200 BLOCK OF HERITAGE CT, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","200 block of heritage ct, mount pleasant, mi"
"1500 BLOCK OF FLYNN LN, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","1500 block of flynn ln, mount pleasant, mi"
"1500 BLOCK OF CANTERBURY TRAIL, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","1500 block of canterbury trail, mount pleasant, mi"
"100 BLOCK OF KENSINGTON CIR, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","100 block of kensington cir, mount pleasant, mi"
"200 BLOCK OF S MISSION ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","200 block of s mission st, mount pleasant, mi"
"200 BLOCK OF KINNEY ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","200 block of kinney st, mount pleasant, mi"
"1600 BLOCK OF FLYNN LN, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","1600 block of flynn ln, mount pleasant, mi"
"400 BLOCK OF S CRAPO STREET, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","400 block of s crapo street, mount pleasant, mi"
"100 BLOCK OF NORTH DR, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","100 block of north dr, mount pleasant, mi"
"900 BLOCK OF S BROWN ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","900 block of s brown st, mount pleasant, mi"
"5000 BLOCK OF BIRTSHIRE DR, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","5000 block of birtshire dr, mount pleasant, mi"
"WEST MOSHER ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","west mosher st, mount pleasant, mi"
"500 BLOCK OF S ARNOLD ST, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","500 block of s arnold st, mount pleasant, mi"
"4600 BLOCK OF S ISABELLA RD MOUNT PLEASANT MI 48858, Mount Pleasant, MI",Mount Pleasant,MI,"$41,512","4600 block of s isabella rd mount pleasant mi 48858, mount pleasant, mi"
"ALEXIS AND 800 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","alexis and 800 block of w alexis rd, toledo, oh"
"HOLLY VALLEY AND 6000 BLOCK OF HOLLY VALLEY DRIVE, Toledo, OH",Toledo,OH,"$45,405","holly valley and 6000 block of holly valley drive, toledo, oh"
"BROOKE PARK AND 1500 BLOCK OF BROOKE PARK DRIVE, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1500 block of brooke park drive, toledo, oh"
"1300 BLOCK OF BROOKE PARK DRIVE, Lucas County, OH",Lucas County,OH,"$57,265","1300 block of brooke park drive, lucas county, oh"
"CSL PLASMA CARE AND 6000 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","csl plasma care and 6000 block of lewis avenue, toledo, oh"
"MORNINGSIDE AND 6000 BLOCK OF MORNINGSIDE DRIVE, Toledo, OH",Toledo,OH,"$45,405","morningside and 6000 block of morningside drive, toledo, oh"
"ALEXIS AND 700 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","alexis and 700 block of w alexis rd, toledo, oh"
"LEWIS AND 5800 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","lewis and 5800 block of lewis avenue, toledo, oh"
"ALEXIS AND 1200 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","alexis and 1200 block of w alexis rd, toledo, oh"
"MCDONALDS AND 800 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","mcdonalds and 800 block of w alexis rd, toledo, oh"
"BROOKE PARK AND 1400 BLOCK OF BROOKE PARK DRIVE, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1400 block of brooke park drive, toledo, oh"
"BROOKE PARK AND 1500 BLOCK OF BROOKE PARK DRIVE 6, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1500 block of brooke park drive 6, toledo, oh"
"GRIBBIN AND 800 BLOCK OF GRIBBIN LANE, Toledo, OH",Toledo,OH,"$45,405","gribbin and 800 block of gribbin lane, toledo, oh"
"ALEXIS+LEWIS AND ALEXIS+LEWIS, Toledo, OH",Toledo,OH,"$45,405","alexis+lewis and alexis+lewis, toledo, oh"
"BROOKE PARK AND 1100 BLOCK OF BROOKE PARK DRIVE, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1100 block of brooke park drive, toledo, oh"
"STATE LINE AND 900 BLOCK OF W STATE LINE RD, Toledo, OH",Toledo,OH,"$45,405","state line and 900 block of w state line rd, toledo, oh"
"BROOKE PARK AND 1300 BLOCK OF BROOKE PARK DRIVE, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1300 block of brooke park drive, toledo, oh"
"ALEXIS AND 1100 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","alexis and 1100 block of w alexis rd, toledo, oh"
"TOP SHOTS AND 5800 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","top shots and 5800 block of lewis avenue, toledo, oh"
"LEWIS AND 6000 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","lewis and 6000 block of lewis avenue, toledo, oh"
"MCCLURE AND 1300 BLOCK OF MCCLURE RD, Toledo, OH",Toledo,OH,"$45,405","mcclure and 1300 block of mcclure rd, toledo, oh"
"900 BLOCK OF GRIBBON LANE AND 900 BLOCK OF GRIBBIN LANE, Toledo, OH",Toledo,OH,"$45,405","900 block of gribbon lane and 900 block of gribbin lane, toledo, oh"
"DOLLAR GENERAL AND 5800 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","dollar general and 5800 block of lewis avenue, toledo, oh"
"BROOKE PARK AND 1400 BLOCK OF BROOKE PARK DRIVE APT 1, Toledo, OH",Toledo,OH,"$45,405","brooke park and 1400 block of brooke park drive apt 1, toledo, oh"
"OPPORTUNITY AND 5700 BLOCK OF OPPORTUNITY DRIVE, Toledo, OH",Toledo,OH,"$45,405","opportunity and 5700 block of opportunity drive, toledo, oh"
"FIFTH THIRD BANK AND 1000 BLOCK OF W ALEXIS RD, Toledo, OH",Toledo,OH,"$45,405","fifth third bank and 1000 block of w alexis rd, toledo, oh"
"DORRELL MANOR APTS AND 5800 BLOCK OF SOUTHWYCK BOULEVARD 204, Toledo, OH",Toledo,OH,"$45,405","dorrell manor apts and 5800 block of southwyck boulevard 204, toledo, oh"
"HOLLY GLENN AND 5900 BLOCK OF HOLLY GLENN DRIVE, Toledo, OH",Toledo,OH,"$45,405","holly glenn and 5900 block of holly glenn drive, toledo, oh"
"ROLLAND AND 6100 BLOCK OF ROLLAND DRIVE, Toledo, OH",Toledo,OH,"$45,405","rolland and 6100 block of rolland drive, toledo, oh"
"RAINBOW SHOPS AND 5800 BLOCK OF LEWIS AVENUE, Toledo, OH",Toledo,OH,"$45,405","rainbow shops and 5800 block of lewis avenue, toledo, oh"
"STATE LINE AND 400 BLOCK OF W STATE LINE RD, Toledo, OH",Toledo,OH,"$45,405","state line and 400 block of w state line rd, toledo, oh"
"500 BLOCK OF GLEN OAKS DR, MUSKEGON, MI",MUSKEGON,MI,"$40,900","500 block of glen oaks dr, muskegon, mi"
"1400 BLOCK OF E APPLE AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1400 block of e apple av, muskegon, mi"
"1900 BLOCK OF CARRIAGE RD, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1900 block of carriage rd, muskegon, mi"
"300 BLOCK OF SHONAT ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","300 block of shonat st, muskegon, mi"
"400 BLOCK OF GLEN OAKS DR, MUSKEGON, MI",MUSKEGON,MI,"$40,900","400 block of glen oaks dr, muskegon, mi"
"600 BLOCK OF HARVEY ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","600 block of harvey st, muskegon, mi"
"1300 BLOCK OF ALBERT AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1300 block of albert av, muskegon, mi"
"1900 BLOCK OF SURREY PL, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1900 block of surrey pl, muskegon, mi"
"200 BLOCK OF CRESTON ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of creston st, muskegon, mi"
"600 BLOCK OF GLEN OAKS DR, MUSKEGON, MI",MUSKEGON,MI,"$40,900","600 block of glen oaks dr, muskegon, mi"
"1800 BLOCK OF CARRIAGE RD, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1800 block of carriage rd, muskegon, mi"
"1300 BLOCK OF JAMES AV AND CRESTON ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1300 block of james av and creston st, muskegon, mi"
"100 BLOCK OF GLEN OAKS DR AND HARVEY ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","100 block of glen oaks dr and harvey st, muskegon, mi"
"600 BLOCK OF GLEN OAKS DR AND HARVEY ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","600 block of glen oaks dr and harvey st, muskegon, mi"
"1500 BLOCK OF MARQUETTE AV AND BROADMOOR ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1500 block of marquette av and broadmoor st, muskegon, mi"
"1500 BLOCK OF MARQUETTE AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1500 block of marquette av, muskegon, mi"
"200 BLOCK OF SHONAT ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of shonat st, muskegon, mi"
"42XX TRUMAN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","42xx truman st, ottawa county, mi"
"236XX 36TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","236xx 36th ave, ottawa county, mi"
"36TH AVE  / TRUMAN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","36th ave  / truman st, ottawa county, mi"
"24TH AVE  / HOOVER ST, Ottawa County, MI",Ottawa County,MI,"$83,932","24th ave  / hoover st, ottawa county, mi"
"226XX 16TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","226xx 16th ave, ottawa county, mi"
"222XX 24TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","222xx 24th ave, ottawa county, mi"
"200 BLOCK OF EAST SHERMAN AVENUE, Muskegon Heights, MI",Muskegon Heights,MI,"$35,216","200 block of east sherman avenue, muskegon heights, mi"
"32ND AVE  / TRUMAN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","32nd ave  / truman st, ottawa county, mi"
"25XX CROCKERY SHORES RD, Ottawa County, MI",Ottawa County,MI,"$83,932","25xx crockery shores rd, ottawa county, mi"
"237XX 8TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","237xx 8th ave, ottawa county, mi"
"TRUMAN ST  / SQUIRES RD, Ottawa County, MI",Ottawa County,MI,"$83,932","truman st  / squires rd, ottawa county, mi"
"100 BLOCK OF EAST ST NW CASNOVIA, CASNOVIA, MI",CASNOVIA,MI,"$69,643","100 block of east st nw casnovia, casnovia, mi"
"221XX CROCKERY WOODS DR, Ottawa County, MI",Ottawa County,MI,"$83,932","221xx crockery woods dr, ottawa county, mi"
"228XX 32ND AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","228xx 32nd ave, ottawa county, mi"
"00 BLOCK OF E WATERLOO ST NW CASNOVIA, CASNOVIA, MI",CASNOVIA,MI,"$69,643","00 block of e waterloo st nw casnovia, casnovia, mi"
"226XX 32ND AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","226xx 32nd ave, ottawa county, mi"
"100 BLOCK OF E DIVISION ST NW CASNOVIA, CASNOVIA, MI",CASNOVIA,MI,"$69,643","100 block of e division st nw casnovia, casnovia, mi"
"32ND AVE  / HOOVER ST, Ottawa County, MI",Ottawa County,MI,"$83,932","32nd ave  / hoover st, ottawa county, mi"
"30XX HOOVER ST, Ottawa County, MI",Ottawa County,MI,"$83,932","30xx hoover st, ottawa county, mi"
"25XX HOOVER ST, Ottawa County, MI",Ottawa County,MI,"$83,932","25xx hoover st, ottawa county, mi"
"700 BLOCK OF E SHERMAN BL, MUSKEGON HEIGHTS, MI",MUSKEGON HEIGHTS,MI,"$35,216","700 block of e sherman bl, muskegon heights, mi"
"100 BLOCK OF E LINCOLN BL AND RUSSELL RD, LAKEWOOD CLUB, MI",LAKEWOOD CLUB,MI,"$63,796","100 block of e lincoln bl and russell rd, lakewood club, mi"
"200 BLOCK OF TAFFY LN, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of taffy ln, muskegon, mi"
"133XX FOX RIDGE CT, Ottawa County, MI",Ottawa County,MI,"$83,932","133xx fox ridge ct, ottawa county, mi"
"133XX US-31, Ottawa County, MI",Ottawa County,MI,"$83,932","133xx us-31, ottawa county, mi"
"166XX FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","166xx ferris st, ottawa county, mi"
"123XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","123xx 168th ave, ottawa county, mi"
"LINCOLN ST / US-31, Ottawa County, MI",Ottawa County,MI,"$83,932","lincoln st / us-31, ottawa county, mi"
"130XX LAKESHORE DR, Ottawa County, MI",Ottawa County,MI,"$83,932","130xx lakeshore dr, ottawa county, mi"
"170XX FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","170xx ferris st, ottawa county, mi"
"US-31 / FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","us-31 / ferris st, ottawa county, mi"
"161XX LINCOLN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","161xx lincoln st, ottawa county, mi"
"172XX LINCOLN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","172xx lincoln st, ottawa county, mi"
"125XX LAKESHORE DR, Ottawa County, MI",Ottawa County,MI,"$83,932","125xx lakeshore dr, ottawa county, mi"
"168TH AVE / TIMBER DUNE DR, Ottawa County, MI",Ottawa County,MI,"$83,932","168th ave / timber dune dr, ottawa county, mi"
"US-31  / FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","us-31  / ferris st, ottawa county, mi"
"127XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","127xx 168th ave, ottawa county, mi"
"FERRIS ST  / US-31, Ottawa County, MI",Ottawa County,MI,"$83,932","ferris st  / us-31, ottawa county, mi"
"130XX US-31, Ottawa County, MI",Ottawa County,MI,"$83,932","130xx us-31, ottawa county, mi"
"129XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","129xx 168th ave, ottawa county, mi"
"167XX FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","167xx ferris st, ottawa county, mi"
"US-31  / BUCHANAN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","us-31  / buchanan st, ottawa county, mi"
"121XX WEST OLIVE RD, Ottawa County, MI",Ottawa County,MI,"$83,932","121xx west olive rd, ottawa county, mi"
"171XX LINCOLN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","171xx lincoln st, ottawa county, mi"
"167XX WARNER ST, Ottawa County, MI",Ottawa County,MI,"$83,932","167xx warner st, ottawa county, mi"
"US-31  / LINCOLN ST, Ottawa County, MI",Ottawa County,MI,"$83,932","us-31  / lincoln st, ottawa county, mi"
"LAKESHORE DR  / FERRIS ST, Ottawa County, MI",Ottawa County,MI,"$83,932","lakeshore dr  / ferris st, ottawa county, mi"
"133XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","133xx 168th ave, ottawa county, mi"
"125XX RETREAT DR, Ottawa County, MI",Ottawa County,MI,"$83,932","125xx retreat dr, ottawa county, mi"
"172XX BURKSHIRE DR, Ottawa County, MI",Ottawa County,MI,"$83,932","172xx burkshire dr, ottawa county, mi"
"166XX PINE DUNES CT, Ottawa County, MI",Ottawa County,MI,"$83,932","166xx pine dunes ct, ottawa county, mi"
"118XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","118xx 168th ave, ottawa county, mi"
"132XX 168TH AVE, Ottawa County, MI",Ottawa County,MI,"$83,932","132xx 168th ave, ottawa county, mi"
"168TH AVE  / HEMLOCK DR, Ottawa County, MI",Ottawa County,MI,"$83,932","168th ave  / hemlock dr, ottawa county, mi"
"127XX SANCTUARY PL, Ottawa County, MI",Ottawa County,MI,"$83,932","127xx sanctuary pl, ottawa county, mi"
"129XX US-31, Ottawa County, MI",Ottawa County,MI,"$83,932","129xx us-31, ottawa county, mi"
"1600 BLOCK OF BIEDLER STREET, Muskegon, MI",Muskegon,MI,"$40,900","1600 block of biedler street, muskegon, mi"
"1500 BLOCK OF CLINTON ST, Muskegon, MI",Muskegon,MI,"$40,900","1500 block of clinton st, muskegon, mi"
"700 BLOCK OF W SOUTHERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","700 block of w southern av, muskegon, mi"
"1300 BLOCK OF PECK ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1300 block of peck st, muskegon, mi"
"200 BLOCK OF HOUSTON AV AND 2ND ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of houston av and 2nd st, muskegon, mi"
"200 BLOCK OF WASHINGTON AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of washington av, muskegon, mi"
"1500 BLOCK OF PARK ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1500 block of park st, muskegon, mi"
"1700 BLOCK OF 7TH ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1700 block of 7th st, muskegon, mi"
"700 BLOCK OF W GRAND AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","700 block of w grand av, muskegon, mi"
"600 BLOCK OF W SOUTHERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","600 block of w southern av, muskegon, mi"
"1500 BLOCK OF DIVISION ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1500 block of division st, muskegon, mi"
"800 BLOCK OF W SOUTHERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","800 block of w southern av, muskegon, mi"
"300 BLOCK OF W WESTERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","300 block of w western av, muskegon, mi"
"1900 BLOCK OF PECK ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1900 block of peck st, muskegon, mi"
"900 BLOCK OF JEFFERSON ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","900 block of jefferson st, muskegon, mi"
"1500 BLOCK OF PECK ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1500 block of peck st, muskegon, mi"
"1900 BLOCK OF JEFFERSON ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1900 block of jefferson st, muskegon, mi"
"1600 BLOCK OF 7TH ST, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1600 block of 7th st, muskegon, mi"
"200 BLOCK OF MASON AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","200 block of mason av, muskegon, mi"
"500 BLOCK OF W CLAY AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","500 block of w clay av, muskegon, mi"
"1900 BLOCK OF 5TH ST AND W HOLBROOK AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","1900 block of 5th st and w holbrook av, muskegon, mi"
"300 BLOCK OF MERRILL AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","300 block of merrill av, muskegon, mi"
"900 BLOCK OF W WESTERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","900 block of w western av, muskegon, mi"
"500 BLOCK OF W WESTERN AV, MUSKEGON, MI",MUSKEGON,MI,"$40,900","500 block of w western av, muskegon, mi"
"700 BLOCK OF TERRACE POINT RD, MUSKEGON, MI",MUSKEGON,MI,"$40,900","700 block of terrace point rd, muskegon, mi"
"500 BLOCK OF LINDEN STREET, Cadillac, MI",Cadillac,MI,"$45,123","500 block of linden street, cadillac, mi"
"2500 BLOCK OF ISABELLA, Midland, MI",Midland,MI,"$71,809","2500 block of isabella, midland, mi"
"5300 BLOCK OF HAWKS NEST, Midland, MI",Midland,MI,"$71,809","5300 block of hawks nest, midland, mi"
"4500 BLOCK OF N SAGINAW, Midland, MI",Midland,MI,"$71,809","4500 block of n saginaw, midland, mi"
"5200 BLOCK OF HEDGEWOOD, Midland, MI",Midland,MI,"$71,809","5200 block of hedgewood, midland, mi"
"4900 BLOCK OF N SAGINAW, Midland, MI",Midland,MI,"$71,809","4900 block of n saginaw, midland, mi"
"4200 BLOCK OF DUBLIN, Midland, MI",Midland,MI,"$71,809","4200 block of dublin, midland, mi"
"3100 BLOCK OF ISABELLA, Midland, MI",Midland,MI,"$71,809","3100 block of isabella, midland, mi"
"ISABELLA, Midland, MI",Midland,MI,"$71,809","isabella, midland, mi"
"3700 BLOCK OF ASPEN, Midland, MI",Midland,MI,"$71,809","3700 block of aspen, midland, mi"
"500 BLOCK OF HUTCHISON, Midland, MI",Midland,MI,"$71,809","500 block of hutchison, midland, mi"
"3700 BLOCK OF HASKIN, Midland, MI",Midland,MI,"$71,809","3700 block of haskin, midland, mi"
"30100 BLOCK HIGHMEADOW RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","30100 block highmeadow rd, farmington hills, mi"
"27800 BLOCK ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","27800 block orchard lake rd, farmington hills, mi"
"ORCHARD LAKE RD&OAKLAND DR, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","orchard lake rd&oakland dr, farmington hills, mi"
"31500 BLOCK ELEVEN MILE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","31500 block eleven mile rd, farmington hills, mi"
"W TWELVE MILE RD&ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","w twelve mile rd&orchard lake rd, farmington hills, mi"
"28800 BLOCK ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","28800 block orchard lake rd, farmington hills, mi"
"27400 BLOCK STRAWBERRY LN E, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","27400 block strawberry ln e, farmington hills, mi"
"CANFIELD DR&GRAYFIELD AVE, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","canfield dr&grayfield ave, farmington hills, mi"
"24700 BLOCK COBBLESTONE CT, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","24700 block cobblestone ct, farmington hills, mi"
"24500 BLOCK ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","24500 block orchard lake rd, farmington hills, mi"
"33100 BLOCK HAMILTON CT, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","33100 block hamilton ct, farmington hills, mi"
"24400 BLOCK ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","24400 block orchard lake rd, farmington hills, mi"
"29100 BLOCK ORCHARD LAKE RD, FARMINGTON HILLS, MI",FARMINGTON HILLS,MI,"$101,728","29100 block orchard lake rd, farmington hills, mi"
